count nobl hsv
1 51.0 20382
1 13.0 7426
1 94.0 56648
1 26.0 2741
1 27.0 9815
1 14.0 8043
1 25.0 6491
1 10.0 15411
1 6.0 8785
1 27.0 7440
1 25.0 14904
1 25.0 8105
1 0.0 68987
1 22.0 8973
1 4.0 8177
1 37.0 8120
1 75.0 14959
1 58.0 47070
1 34.0 15595
1 25.0 11285
1 7.0 130457
1 111.0 58162
1 141.0 74913
1 0.0 18373
1 15.0 9440
1 6.0 13008
1 37.0 21764
1 0.0 217648
1 19.0 7410
1 32.0 13720
1 15.0 10899
1 54.0 27668
1 20.0 1250
1 29.0 9415
1 26.0 1993
1 0.0 17467
1 0.0 33474
1 45.0 37377
1 53.0 56597
1 27.0 6928
1 101.0 37616
1 5.0 14362
1 4.0 5794
1 25.0 3890
1 8.0 9321
1 32.0 13104
1 35.0 13626
1 58.0 20157
1 22.0 3399
1 0.0 21705
1 2.0 10044
1 13.0 9108
1 6.0 9985
1 23.0 11061
1 3.0 11065
1 132.0 83982
1 25.0 6171
1 27.0 5456
1 23.0 4520
1 17.0 9724
1 64.0 55258
1 9.0 17264
1 89.0 93301
1 69.0 39717
1 37.0 109416
1 13.0 325
1 24.0 9895
1 14.0 9505
1 43.0 8897
1 80.0 43301
1 24.0 4473
1 36.0 9719
1 13.0 36339
1 34.0 49913
1 9.0 9749
1 30.0 5626
1 33.0 15100
1 19.0 9021
1 81.0 29674
1 22.0 10854
1 95.0 13854
1 4.0 8946
1 4.0 9455
1 0.0 233759
1 36.0 17947
1 36.0 5326
1 2.0 10303
1 6.0 11709
