count robl hsv
1 0.6285714285714286 1984
1 0.375 8429
1 0.23076923076923078 5654
1 1.75 212
1 0.17142857142857143 6361
1 0.5757575757575758 10581
1 1.8888888888888888 361
1 5.333333333333333 339
1 3.0 143
1 0.0 10619
1 0.7142857142857143 6479
1 1.0 1956
1 0.15 4995
1 0.23809523809523808 5420
1 0.12195121951219512 5616
1 0.0 6561
1 0.5238095238095238 2968
1 0.0 12751
1 1.0769230769230769 975
