count nobl hse
1 1.0 373595
1 0.0 456991
1 0.0 553316
1 11.0 312601
1 23.0 283498
1 0.0 577318
1 27.0 72792
1 48.0 186424
1 23.0 153141
1 16.0 306974
1 24.0 134546
1 15.0 388067
1 28.0 103969
1 10.0 323852
1 28.0 204318
1 24.0 266680
1 24.0 440429
1 9.0 539425
1 13.0 328890
1 11.0 336649
1 2.0 361161
1 21.0 446542
1 32.0 547264
1 18.0 295677
1 17.0 184684
1 0.0 864992
1 12.0 310230
1 0.0 488076
1 10.0 504444
1 0.0 657898
1 1.0 296265
1 23.0 124634
1 21.0 240897
1 0.0 649396
1 0.0 390241
1 8.0 327098
1 31.0 954657
1 17.0 158759
1 30.0 108388
1 12.0 378456
1 32.0 256724
1 34.0 446226
1 21.0 301145
1 3.0 717687
1 20.0 339621
1 3.0 656205
1 21.0 232806
1 62.0 680146
1 49.0 204933
1 0.0 689960
1 24.0 536002
1 20.0 393485
1 6.0 330635
1 5.0 363397
1 24.0 144654
1 21.0 276174
1 36.0 1083713
1 19.0 252299
1 14.0 274692
1 0.0 291435
1 7.0 616898
1 31.0 88767
1 27.0 277962
1 18.0 566747
1 2.0 638046
1 0.0 707539
1 20.0 171677
1 13.0 354471
1 20.0 320721
1 26.0 261323
1 10.0 473329
1 7.0 233998
1 28.0 350387
1 11.0 360497
1 21.0 504780
1 21.0 373972
1 1.0 242865
1 19.0 208734
1 19.0 621303
1 23.0 4129
1 9.0 378818
1 11.0 398063
1 23.0 27284
1 10.0 261592
1 21.0 828610
1 9.0 398982
1 2.0 484817
1 9.0 288603
1 26.0 95104
1 34.0 341556
1 25.0 277059
1 8.0 365653
1 30.0 54957
1 0.0 432144
1 13.0 392457
1 8.0 283351
1 12.0 220204
1 34.0 318857
1 19.0 470555
1 20.0 284437
1 24.0 189180
1 27.0 306209
1 23.0 298764
1 19.0 379593
1 3.0 275883
1 14.0 4098994
1 36.0 749006
1 108.0 2458891
1 56.0 1759707
1 46.0 2418510
1 50.0 822299
1 40.0 250501
1 0.0 33822426
1 31.0 104147
1 111.0 6112762
1 8.0 506534
1 0.0 1271208
1 2.0 2610480
1 44.0 1366082
1 62.0 2127029
1 40.0 869156
1 25.0 2806602
1 23.0 3037382
1 7.0 2459433
1 80.0 3209335
1 47.0 2816684
1 4.0 184785
1 65.0 1348620
1 52.0 277845
1 30.0 314544
1 58.0 217430
1 29.0 855655
1 72.0 4091967
1 30.0 719213
1 52.0 1354842
1 36.0 393361
1 29.0 1167138
1 7.0 310175
1 54.0 1123233
1 37.0 1582851
1 4.0 1314947
1 68.0 1547081
1 14.0 1035424
1 65.0 1671751
1 29.0 502657
1 80.0 3715305
1 10.0 400430
1 18.0 818869
1 54.0 2208002
1 76.0 997919
1 34.0 332331
1 21.0 697370
1 49.0 2652479
